"ID","Dia_sem","Mes","Dia_ocor","Hora","Distrito","Preco","Coord"
"1097506","2","10","12","6","MANHATTAN","1600241.9318181819","(40.7994436180001, -73.95529048)"
"1028338","4","12","2","17","QUEENS","332701.46153846156","(40.7566251470001, -73.7703888839999)"
"982148","5","8","6","3","BROOKLYN","776779.5918367347","(40.661905227, -73.979103172)"
"1005075","3","11","24","18","BROOKLYN","813043.8571428572","(40.6412825410001, -73.943235379)"
"1001255","4","9","9","21","BRONX","80778.125","(40.847995629, -73.906184083)"
"1077806","1","5","24","14","BROOKLYN","757306.1224489796","(40.6361660490001, -74.010659125)"
"1099016","4","10","14","8","BRONX","807918.918367347","(40.8039165530001, -73.9184369939999)"
"1090592","4","9","2","14","MANHATTAN","1554646.5909090908","(40.7237906450001, -73.9967147949999)"
"1076737","5","5","14","20","QUEENS","315149.8461538461","(40.7620438930001, -73.827329581)"
"1053362","1","11","8","17","BROOKLYN","813043.8571428572","(40.644419767, -73.99104327)"
"1103509","4","12","16","18","BROOKLYN","823153.0408163265","(40.6404593600001, -74.0026101839999)"
"1118307","3","11","17","21","BROOKLYN","813043.8571428572","(40.5872036230001, -73.953254347)"
"1113208","5","12","31","0","QUEENS","332701.46153846156","(40.6915266170001, -73.812291263)"
"1011189","6","2","20","5","STATEN ISLAND","499999.6666666667","(40.5906723150001, -74.1924761029999)"
"973590","4","11","25","8","BRONX","98031.25","(40.8827509220001, -73.854981494)"
"1069498","2","4","6","17","BRONX","77496.875","(40.824475964, -73.88203047)"
"939759","7","7","4","20","QUEENS","325513.28205128206","(40.7430801680001, -73.954736461)"
"956376","5","3","12","4","BROOKLYN","735019.1836734693","(40.627413362, -73.996629473)"
"1066427","7","4","18","12","QUEENS","284660.3846153846","(40.6761072130001, -73.824963566)"
"1043044","2","3","9","0","STATEN ISLAND","343333.3333333333","(40.6426542900001, -74.084600983)"
"1092394","5","9","3","17","BRONX","80778.125","(40.829747076, -73.907463693)"
"935566","6","7","3","18","BROOKLYN","789217.3469387755","(40.6289554140001, -73.955004796)"
"1104784","7","12","12","23","MANHATTAN","1682289.6590909092","(40.760115559, -73.9789821209999)"
"970832","6","4","24","12","BROOKLYN","735071.4285714285","(40.6393720930001, -74.009117477)"
"1002664","2","11","16","23","QUEENS","357619.8717948718","(40.7286744680001, -73.822772535)"
"1050685","5","1","8","13","BROOKLYN","727974.4897959183","(40.6466062420001, -73.911040177)"
"1100203","3","11","10","5","BROOKLYN","813043.8571428572","(40.6518944170001, -73.9170119199999)"
